level,word
2,arsenic
1,bean
1,slate
3,reptilian
5,overirrigation
1,bold
3,conclusive
1,file
2,honeybee
1,satiric
2,refresh
3,starvation
3,personally
2,spruce
4,comprehend
3,diffusion
4,differentiate
3,radical
2,whenever
2,stiffen
2,simulate
1,fetus
2,feeder
2,reminder
3,foodstuff
3,shepherd
1,pine
2,informant
2,allocate
1,cedar
1,vanish
1,slab
2,coexist
2,marble
2,moose
1,cod
2,migrant
1,aviation
2,frontal
2,hexagonal
1,journal
1,assure
1,sizable
2,decompose
2,scout
5,mineralization
4,krypton
3,diminish
4,residual
5,chlorophyll
3,xenon
1,coil
3,penicillin
2,homestead
3,prestigious
4,frustration
5,servant
2,imitative
2,lesson
2,incubate
2,hectare
1,alert
3,committee
3,chocolate
2,loosely
2,creator
1,dirt
5,linsey-woolsey
2,Asian
4,enthusiastic
1,proof
5,infrastructure
3,novelist
4,peruvian
2	    static
3,osprey
3,Scotland
4,underneath
3,pillar
4,affection
2,someone
2,kneel
3,evaluation
4,huckleberry
1,elk
2,darken
2,suffer
1,jaw
2,hardship
3,historically
3,disorient
4,anthocyanin
2,acidic
1,elder
4,modification
2,anyone
3,fingerboard
3,watercraft
2,buildup
2,varnish
2,warfare
1,cop
3,symbiosis
4,presidential
3,sponge
1,gut
1,Russia
1,powder
5,organizational
3,abruptly
5,administrative
5,hypothetical
3,pastoral
3,overtime
4,interglacial
1,bias
1,ahead
1,lamp
1,conform
3,detractor
3,timescale
3,far-reaching
4,left-hand
4,middle-class
2,stove
3,sailfish
2,marlin
3,swordfish
2,commit
2,renewal
1,false 
2,Eurasian
2,tolerant
1,dull
3,depress
4,fortunate
3,buoyant
1,slick
1,shine
2,kinship
1,helpful
3,domestication
1,blur
3,replenish
2,fellowship
3,tutelage
3,freudian
2,pent-up
3,controversy
2,blubber
2,basalt
3,predation
3,qualification
2,perish
4,photographer
2,boule
2,Berlin
2,trance
3,opaque
1,fellow
2,addition
2,rank
3,installer
